#Filter          Gemini No.              File Name               Channel
#-----------------------------------------------------
#CH4 H 1% S              G0724, G0722    ED286_50k               Red, Blue
#ED286-W  1%H short   1.5786-1.5945 um
#Cuton:  1575.22
#Cutoff: 1592.75
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
#FORPRINT: Sat Jul 20 09:53:37 2013
      1.55900      0.00000
      1.56000   0.00111653
      1.56010   0.00118489
      1.56020   0.00121862
      1.56030   0.00128150
      1.56040   0.00128233
      1.56050   0.00128790
      1.56060   0.00134343
      1.56070   0.00137827
      1.56080   0.00144003
      1.56090   0.00154527
      1.56100   0.00161847
      1.56110   0.00159314
      1.56120   0.00158034
      1.56130   0.00137036
      1.56140   0.00180215
      1.56150   0.00186298
      1.56160   0.00170542
      1.56170   0.00171773
      1.56180   0.00164441
      1.56190   0.00181976
      1.56200   0.00197616
      1.56210   0.00195572
      1.56220   0.00206366
      1.56230   0.00192011
      1.56240   0.00215408
      1.56250   0.00200818
      1.56260   0.00236405
      1.56270   0.00239001
      1.56280   0.00256557
      1.56290   0.00263766
      1.56300   0.00261694
      1.56310   0.00264626
      1.56320   0.00271733
      1.56330   0.00283677
      1.56340   0.00305915
      1.56350   0.00298771
      1.56360   0.00310258
      1.56370   0.00316523
      1.56380   0.00357869
      1.56390   0.00341007
      1.56400   0.00356129
      1.56410   0.00367280
      1.56420   0.00387124
      1.56430   0.00396591
      1.56440   0.00396566
      1.56450   0.00419651
      1.56460   0.00460094
      1.56470   0.00445214
      1.56480   0.00460178
      1.56490   0.00474260
      1.56500   0.00506154
      1.56510   0.00517847
      1.56520   0.00529147
      1.56530   0.00571795
      1.56540   0.00585734
      1.56550   0.00593989
      1.56560   0.00654993
      1.56570   0.00652862
      1.56580   0.00660931
      1.56590   0.00707622
      1.56600   0.00745960
      1.56610   0.00747485
      1.56620   0.00791873
      1.56630   0.00853882
      1.56640   0.00865175
      1.56650   0.00891940
      1.56660   0.00939380
      1.56670   0.00988159
      1.56680    0.0101695
      1.56690    0.0106671
      1.56700    0.0111202
      1.56710    0.0118073
      1.56720    0.0123000
      1.56730    0.0127703
      1.56740    0.0131577
      1.56750    0.0137884
      1.56760    0.0145888
      1.56770    0.0151557
      1.56780    0.0156418
      1.56790    0.0165131
      1.56800    0.0175943
      1.56810    0.0182031
      1.56820    0.0191793
      1.56830    0.0199923
      1.56840    0.0209153
      1.56850    0.0221268
      1.56860    0.0235433
      1.56870    0.0240732
      1.56880    0.0255730
      1.56890    0.0270986
      1.56900    0.0283721
      1.56910    0.0295501
      1.56920    0.0312485
      1.56930    0.0328885
      1.56940    0.0345807
      1.56950    0.0364068
      1.56960    0.0380117
      1.56970    0.0403925
      1.56980    0.0422342
      1.56990    0.0446533
      1.57000    0.0465435
      1.57010    0.0498829
      1.57020    0.0531086
      1.57030    0.0556780
      1.57040    0.0581767
      1.57050    0.0615533
      1.57060    0.0651187
      1.57070    0.0688544
      1.57080    0.0726742
      1.57090    0.0762394
      1.57100    0.0811072
      1.57110    0.0845825
      1.57120    0.0889672
      1.57130    0.0933873
      1.57140    0.0995086
      1.57150     0.104657
      1.57160     0.110903
      1.57170     0.115622
      1.57180     0.122693
      1.57190     0.130379
      1.57200     0.137059
      1.57210     0.143089
      1.57220     0.151081
      1.57230     0.159667
      1.57240     0.167605
      1.57250     0.175898
      1.57260     0.181924
      1.57270     0.193778
      1.57280     0.203185
      1.57290     0.211689
      1.57300     0.220722
      1.57310     0.231162
      1.57320     0.243553
      1.57330     0.254855
      1.57340     0.264354
      1.57350     0.277130
      1.57360     0.291001
      1.57370     0.300847
      1.57380     0.314433
      1.57390     0.323591
      1.57400     0.339465
      1.57410     0.352815
      1.57420     0.365306
      1.57430     0.377122
      1.57440     0.390475
      1.57450     0.406182
      1.57460     0.418609
      1.57470     0.430232
      1.57480     0.444012
      1.57490     0.459135
      1.57500     0.472773
      1.57510     0.484093
      1.57520     0.496531
      1.57530     0.513263
      1.57540     0.525923
      1.57550     0.539581
      1.57560     0.549722
      1.57570     0.564492
      1.57580     0.577647
      1.57590     0.589618
      1.57600     0.598114
      1.57610     0.609819
      1.57620     0.623043
      1.57630     0.633376
      1.57640     0.641964
      1.57650     0.650157
      1.57660     0.661971
      1.57670     0.671199
      1.57680     0.678907
      1.57690     0.686280
      1.57700     0.694860
      1.57710     0.703523
      1.57720     0.709426
      1.57730     0.715452
      1.57740     0.722002
      1.57750     0.729149
      1.57760     0.734143
      1.57770     0.739018
      1.57780     0.742956
      1.57790     0.748350
      1.57800     0.752350
      1.57810     0.756295
      1.57820     0.758910
      1.57830     0.763405
      1.57840     0.767148
      1.57850     0.769807
      1.57860     0.772565
      1.57870     0.775017
      1.57880     0.777898
      1.57890     0.780668
      1.57900     0.783135
      1.57910     0.785453
      1.57920     0.788642
      1.57930     0.790837
      1.57940     0.792727
      1.57950     0.795379
      1.57960     0.798338
      1.57970     0.801097
      1.57980     0.803434
      1.57990     0.805495
      1.58000     0.808172
      1.58010     0.811433
      1.58020     0.814438
      1.58030     0.817572
      1.58040     0.820172
      1.58050     0.823644
      1.58060     0.827274
      1.58070     0.830404
      1.58080     0.832938
      1.58090     0.837573
      1.58100     0.841617
      1.58110     0.844864
      1.58120     0.848139
      1.58130     0.852273
      1.58140     0.856830
      1.58150     0.860271
      1.58160     0.863918
      1.58170     0.867248
      1.58180     0.872650
      1.58190     0.876639
      1.58200     0.879726
      1.58210     0.883914
      1.58220     0.889220
      1.58230     0.892909
      1.58240     0.896964
      1.58250     0.901073
      1.58260     0.905958
      1.58270     0.910827
      1.58280     0.914760
      1.58290     0.918442
      1.58300     0.922504
      1.58310     0.926308
      1.58320     0.930499
      1.58330     0.934336
      1.58340     0.937435
      1.58350     0.941961
      1.58360     0.946082
      1.58370     0.949697
      1.58380     0.952310
      1.58390     0.955974
      1.58400     0.960020
      1.58410     0.962803
      1.58420     0.965974
      1.58430     0.969684
      1.58440     0.972766
      1.58450     0.975382
      1.58460     0.977903
      1.58470     0.979996
      1.58480     0.982695
      1.58490     0.984815
      1.58500     0.986676
      1.58510     0.987987
      1.58520     0.990340
      1.58530     0.992126
      1.58540     0.993503
      1.58550     0.994867
      1.58560     0.995842
      1.58570     0.996876
      1.58580     0.997679
      1.58590     0.999058
      1.58600     0.999305
      1.58610     0.999136
      1.58620     0.998892
      1.58630      1.00000
      1.58640     0.999652
      1.58650     0.999261
      1.58660     0.999000
      1.58670     0.998596
      1.58680     0.998130
      1.58690     0.996938
      1.58700     0.995328
      1.58710     0.994468
      1.58720     0.993429
      1.58730     0.991723
      1.58740     0.989528
      1.58750     0.987287
      1.58760     0.985325
      1.58770     0.984155
      1.58780     0.982004
      1.58790     0.978876
      1.58800     0.975001
      1.58810     0.970258
      1.58820     0.966070
      1.58830     0.965275
      1.58840     0.960925
      1.58850     0.957514
      1.58860     0.953663
      1.58870     0.947460
      1.58880     0.942852
      1.58890     0.937612
      1.58900     0.933033
      1.58910     0.925962
      1.58920     0.919188
      1.58930     0.913403
      1.58940     0.906945
      1.58950     0.900264
      1.58960     0.890782
      1.58970     0.883961
      1.58980     0.876321
      1.58990     0.868959
      1.59000     0.857288
      1.59010     0.847954
      1.59020     0.838580
      1.59030     0.831909
      1.59040     0.819374
      1.59050     0.808144
      1.59060     0.797557
      1.59070     0.787089
      1.59080     0.775174
      1.59090     0.760923
      1.59100     0.752055
      1.59110     0.740127
      1.59120     0.725507
      1.59130     0.709554
      1.59140     0.697397
      1.59150     0.683987
      1.59160     0.671366
      1.59170     0.654795
      1.59180     0.640190
      1.59190     0.627182
      1.59200     0.614817
      1.59210     0.599245
      1.59220     0.581396
      1.59230     0.568447
      1.59240     0.553454
      1.59250     0.538676
      1.59260     0.518863
      1.59270     0.506394
      1.59280     0.492157
      1.59290     0.478113
      1.59300     0.460651
      1.59310     0.446229
      1.59320     0.431499
      1.59330     0.419387
      1.59340     0.403800
      1.59350     0.387654
      1.59360     0.374928
      1.59370     0.363042
      1.59380     0.350021
      1.59390     0.334451
      1.59400     0.321299
      1.59410     0.308597
      1.59420     0.298167
      1.59430     0.283199
      1.59440     0.272350
      1.59450     0.260446
      1.59460     0.250025
      1.59470     0.239567
      1.59480     0.228292
      1.59490     0.218688
      1.59500     0.210148
      1.59510     0.201577
      1.59520     0.190130
      1.59530     0.182216
      1.59540     0.175039
      1.59550     0.167181
      1.59560     0.158755
      1.59570     0.151028
      1.59580     0.143678
      1.59590     0.138635
      1.59600     0.130381
      1.59610     0.123190
      1.59620     0.117927
      1.59630     0.113142
      1.59640     0.108736
      1.59650     0.101512
      1.59660    0.0971935
      1.59670    0.0928404
      1.59680    0.0891754
      1.59690    0.0837831
      1.59700    0.0801569
      1.59710    0.0762202
      1.59720    0.0730329
      1.59730    0.0689287
      1.59740    0.0658092
      1.59750    0.0627294
      1.59760    0.0600295
      1.59770    0.0571733
      1.59780    0.0536855
      1.59790    0.0515774
      1.59800    0.0495531
      1.59810    0.0474957
      1.59820    0.0444863
      1.59830    0.0427020
      1.59840    0.0406129
      1.59850    0.0391204
      1.59860    0.0370397
      1.59870    0.0356588
      1.59880    0.0338751
      1.59890    0.0324415
      1.59900    0.0312314
      1.59910    0.0293564
      1.59920    0.0282792
      1.59930    0.0270676
      1.59940    0.0258234
      1.59950    0.0245504
      1.59960    0.0235436
      1.59970    0.0224081
      1.59980    0.0217081
      1.59990    0.0206457
      1.60000    0.0198480
      1.60010    0.0189179
      1.60020    0.0183633
      1.60030    0.0175333
      1.60040    0.0166007
      1.60050    0.0159961
      1.60060    0.0155094
      1.60070    0.0149055
      1.60080    0.0143501
      1.60090    0.0137286
      1.60100    0.0130562
      1.60110    0.0126254
      1.60120    0.0119263
      1.60130    0.0113945
      1.60140    0.0109765
      1.60150    0.0107526
      1.60160    0.0102368
      1.60170   0.00982280
      1.60180   0.00945176
      1.60190   0.00928155
      1.60200   0.00902312
      1.60210   0.00859873
      1.60220   0.00813997
      1.60230   0.00782743
      1.60240   0.00774511
      1.60250   0.00731579
      1.60260   0.00703088
      1.60270   0.00682791
      1.60280   0.00660831
      1.60290   0.00625502
      1.60300   0.00603419
      1.60310   0.00583691
      1.60320   0.00572542
      1.60330   0.00567159
      1.60340   0.00535731
      1.60350   0.00513489
      1.60360   0.00490734
      1.60370   0.00460157
      1.60380   0.00466305
      1.60390   0.00462276
      1.60400   0.00443799
      1.60410   0.00420890
      1.60420   0.00411783
      1.60430   0.00383483
      1.60440   0.00387860
      1.60450   0.00357396
      1.60460   0.00367127
      1.60470   0.00340445
      1.60480   0.00336222
      1.60490   0.00330119
      1.60500   0.00320438
      1.60510   0.00302128
      1.60520   0.00287012
      1.60530   0.00285836
      1.60540   0.00276226
      1.60550   0.00275055
      1.60560   0.00252866
      1.60570   0.00255262
      1.60580   0.00256246
      1.60590   0.00249557
      1.60600   0.00227272
      1.60610   0.00222779
      1.60620   0.00245667
      1.60630   0.00212006
      1.60640   0.00210488
      1.60650   0.00191925
      1.60660   0.00189819
      1.60670   0.00195431
      1.60680   0.00187036
      1.60690   0.00184497
      1.60700   0.00171945
      1.60710   0.00170681
      1.60720   0.00168800
      1.60730   0.00165880
      1.60740   0.00159709
      1.60750   0.00154274
      1.60760   0.00154242
      1.60770   0.00158140
      1.60780   0.00130475
      1.60790   0.00145610
      1.60800   0.00144092
      1.60810   0.00133783
      1.60820   0.00137737
      1.60830   0.00137669
      1.60840   0.00120771
      1.60850   0.00112249
      1.60860   0.00130212
      1.60870   0.00119038
      1.60880   0.00124413
      1.60890   0.00100738
      1.60900   0.00111553
      1.60910   0.00104260
      1.60920  0.000994652
      1.60940  0.000907827
      1.60950  0.000900989
      1.60960  0.000874927
      1.60970  0.000973970
      1.60980  0.000853265
      1.60990  0.000927361
      1.61000  0.000942340
      1.61010      0.00000
