# normalized from Lprime_MKO.txt
#http://irtfweb.ifa.hawaii.edu/~nsfcam/filters.html
#WL (Micrometers)       Transmission (%)
       3.0002999      0.00000
       3.0102999      0.00000
       3.0202999      0.00000
       3.0302999  0.000243209
       3.0402999   0.00425278
       3.0502999      0.00000
       3.0602999      0.00000
       3.0702999   0.00342908
       3.0802999      0.00000
       3.0902999   0.00416731
       3.1002999      0.00000
       3.1102999   0.00158308
       3.1202999      0.00000
       3.1302999      0.00000
       3.1402999   0.00321032
       3.1502999   0.00354677
       3.1602999   0.00345469
       3.1702999   0.00392156
       3.1802999  0.000670526
       3.1902999  2.42926e-05
       3.2002999      0.00000
       3.2102999      0.00000
       3.2202999      0.00000
       3.2302999      0.00000
       3.2402999      0.00000
       3.2502999   0.00355710
       3.2602999      0.00000
       3.2702999      0.00000
       3.2802999   0.00686911
       3.2902999   0.00417621
       3.3002999   0.00529291
       3.3102999   0.00918629
       3.3202999    0.0118127
       3.3302999    0.0118652
       3.3402999    0.0189620
       3.3502999    0.0229028
       3.3602999    0.0319646
       3.3702999    0.0420536
       3.3802999    0.0638757
       3.3902999    0.0935960
       3.4002999     0.151187
       3.4102999     0.266795
       3.4202999     0.441244
       3.4302999     0.669187
       3.4402999     0.854713
       3.4502999     0.941225
       3.4602999     0.959760
       3.4702999     0.965472
       3.4802999     0.967683
       3.4902999     0.972003
       3.5002999     0.970435
       3.5102999     0.955256
       3.5202999     0.944329
       3.5302999     0.933241
       3.5402999     0.918679
       3.5502999     0.922495
       3.5602999     0.926575
       3.5702999     0.932930
       3.5802999     0.944444
       3.5902999     0.955716
       3.6002999     0.968076
       3.6102999     0.969849
       3.6202999     0.976671
       3.6302999     0.980369
       3.6402999     0.986908
       3.6502999     0.990445
       3.6602999     0.993602
       3.6702999     0.991200
       3.6802999     0.985217
       3.6902999     0.985993
       3.7002999     0.978891
       3.7102999     0.975469
       3.7202999     0.965999
       3.7302999     0.955718
       3.7402999     0.950627
       3.7502999     0.956902
       3.7602999     0.954277
       3.7702999     0.966210
       3.7802999     0.967386
       3.7902999     0.965560
       3.8002999     0.970894
       3.8102999     0.971259
       3.8202999     0.972503
       3.8302999     0.983277
       3.8402999     0.973085
       3.8502999     0.975861
       3.8602999     0.980153
       3.8702999     0.983329
       3.8802999     0.981774
       3.8902999     0.984626
       3.9002999     0.990474
       3.9102999     0.989607
       3.9202999     0.993306
       3.9302999     0.994259
       3.9402999     0.984812
       3.9502999     0.985359
       3.9602999     0.973461
       3.9702999     0.969696
       3.9802999     0.953555
       3.9902999     0.949654
       4.0002999     0.939911
       4.0102999     0.944684
       4.0202999     0.944599
       4.0302999     0.962893
       4.0402999     0.965249
       4.0502999     0.981288
       4.0602999     0.991319
       4.0702999      1.00000
       4.0802999     0.997237
       4.0902999     0.963466
       4.1002999     0.881447
       4.1102999     0.731797
       4.1202999     0.563067
       4.1302999     0.379194
       4.1402999     0.239515
       4.1502999     0.147588
       4.1602999    0.0839263
       4.1702999    0.0506919
       4.1802999    0.0383403
       4.1902999    0.0267361
       4.2002999    0.0158343
       4.2102999   0.00844657
       4.2202999   0.00725583
       4.2302999   0.00996316
       4.2402999      0.00000
       4.2502999   0.00397492
       4.2602999   0.00475198
       4.2702999      0.00000
       4.2802999      0.00000
       4.2902999      0.00000
       4.3002999      0.00000
       4.3102999      0.00000
       4.3202999   0.00403141
       4.3302999      0.00000
       4.3402999  0.000681470
       4.3502999   0.00373021
       4.3602999      0.00000
       4.3702999      0.00000
       4.3802999  3.34945e-05
       4.3902999      0.00000
       4.4002999   0.00327914
       4.4102999      0.00000
       4.4202999  0.000981933
       4.4302999   0.00179417
       4.4402999   0.00366787
       4.4502999   0.00233813
       4.4602999  0.000511897
       4.4702999      0.00000
       4.4802999      0.00000
       4.4902999   0.00302283
       4.4902999   0.0
