#digitized from Mprime_MKO.txt, obtained from:
#http://irtfweb.ifa.hawaii.edu/~nsfcam/filters.html
#WL (Micrometers)       Transmission (%)
       3.9992001      0.00000
       4.0092001   0.00164681
       4.0192001  0.000577995
       4.0292001  0.000584328
       4.0392001   0.00114671
       4.0492001   0.00101522
       4.0592001      0.00000
       4.0692001      0.00000
       4.0792001   0.00153498
       4.0892001   0.00411279
       4.0992001      0.00000
       4.1092001      0.00000
       4.1192001      0.00000
       4.1292001   0.00370992
       4.1392001      0.00000
       4.1492001   0.00306888
       4.1592001      0.00000
       4.1692001   0.00219309
       4.1792001      0.00000
       4.1892001   0.00327071
       4.1992001   0.00170607
       4.2092001   0.00231866
       4.2192001   0.00404489
       4.2292001      0.00000
       4.2392001      0.00000
       4.2492001      0.00000
       4.2592001   0.00344131
       4.2692001      0.00000
       4.2792001   0.00504361
       4.2892001   0.00125719
       4.2992001   0.00289513
       4.3092001      0.00000
       4.3192001  4.75467e-05
       4.3292001   0.00250415
       4.3392001  0.000695279
       4.3492001   0.00662744
       4.3592001      0.00000
       4.3692001   0.00371810
       4.3792001      0.00000
       4.3892001   0.00154349
       4.3992001   0.00182759
       4.4092001      0.00000
       4.4192001   0.00217878
       4.4292001      0.00000
       4.4392001   0.00743723
       4.4492001      0.00000
       4.4592001   0.00182589
       4.4692001   0.00122409
       4.4792001   0.00486886
       4.4892001   0.00802207
       4.4992001   0.00664163
       4.5092001    0.0111608
       4.5192001    0.0207766
       4.5292001    0.0366214
       4.5392001    0.0859861
       4.5492001     0.181548
       4.5592001     0.378152
       4.5692001     0.668249
       4.5792001     0.894075
       4.5892001     0.977532
       4.5992001     0.978933
       4.6092001     0.976725
       4.6192001     0.986681
       4.6292001     0.996329
       4.6392001      1.00000
       4.6492001     0.994342
       4.6592001     0.984170
       4.6692001     0.971427
       4.6792001     0.959872
       4.6892001     0.955592
       4.6992001     0.953441
       4.7092001     0.953646
       4.7192001     0.958620
       4.7292001     0.969251
       4.7392001     0.973089
       4.7492001     0.970486
       4.7592001     0.959436
       4.7692001     0.920519
       4.7792001     0.851241
       4.7892001     0.739408
       4.7992001     0.594836
       4.8092001     0.436953
       4.8192001     0.284041
       4.8292001     0.176858
       4.8392001     0.106164
       4.8492001    0.0576860
       4.8592001    0.0322819
       4.8692001    0.0237623
       4.8792001    0.0143093
       4.8892001   0.00911112
       4.8992001   0.00689951
       4.9092001  0.000932152
       4.9192001   0.00565437
       4.9292001      0.00000
       4.9392001      0.00000
       4.9492001   0.00677119
       4.9592001   0.00367677
       4.9692001      0.00000
       4.9792001   0.00433009
       4.9892001      0.00000
       4.9992001   0.00256436
       5.0092001  0.000956921
       5.0192001      0.00000
       5.0292001   0.00467177
       5.0392001   0.00214270
       5.0492001  0.000124351
       5.0592001   0.00484366
       5.0692001  0.000813035
       5.0792001      0.00000
       5.0892001   0.00289996
       5.0992001      0.00000
       5.1092001   0.00100603
       5.1192001      0.00000
       5.1292001  0.000579641
       5.1392001   0.00489755
       5.1492001      0.00000
       5.1592001   0.00154083
       5.1692001   0.00440939
       5.1792001      0.00000
       5.1892001  0.000899089
       5.1992001  0.000149344
       5.2092001      0.00000
       5.2192001   0.00471281
       5.2292001      0.00000
       5.2392001  0.000661690
       5.2492001   0.00159596
       5.2592001      0.00000
       5.2692001   0.00232431
       5.2792001      0.00000
       5.2892001   0.00201394
       5.2992001      0.00000
       5.3092001      0.00000
       5.3192001   0.00242508
       5.3292001      0.00000
       5.3392001   0.00292131
       5.3492001      0.00000
       5.3592001  0.000104197
       5.3692001      0.00000
       5.3792001  0.000816663
       5.3892001   0.00158339
       5.3992001      0.00000
       5.4092001      0.00000
       5.4192001  0.000356233
       5.4292001   0.00202010
       5.4392001      0.00000
       5.4492001   0.00169167
       5.4592001      0.00000
       5.4692001      0.00000
       5.4792001   0.00328175
       5.4892001      0.00000
       5.4992001  0.000796020
       5.5092001      0.00000
       5.5192001   0.00218252
       5.5292001      0.00000
       5.5392001   0.00284008
       5.5492001  0.00
