#Ys VisAO Filter Transmission, including CCD47 QE and Aluminum reflectance
#Lambda (um)      Normalized-trans
#set to 0 at 0.87, chopping off probably not-real blue tail
     0.870000     0.0
     0.880000     0.0087766570
     0.890000      0.031828847
     0.900000      0.064945110
     0.910000       0.11378932
     0.920000       0.21140791
     0.930000       0.38309711
     0.940000       0.56231507
     0.950000       0.80736410
     0.960000       0.95349767
     0.970000        1.0000000
     0.980000       0.97165768
     0.990000       0.85062320
      1.00000       0.69327148
      1.01000       0.56126988
      1.02000       0.45962364
      1.03000       0.37920954
      1.04000       0.26524009
      1.05000       0.18504162
      1.06000       0.13822539
      1.07000      0.098830903
      1.08000      0.058956458
      1.09000      0.036509642
      1.10000      0.021409948
      1.11000     0.0070322439
      1.12000    0.00036158683
      1.13000        0.0000000     
