#i' VisAO Filter Transmission, including CCD47 QE and Aluminum reflectance
#Lambda (um)      Normalized-trans
     0.670000      0.0
     0.670500      4.7889462e-06
     0.671000      8.0160618e-06
     0.671500      1.0807866e-05
     0.672000      1.5663603e-05
     0.672500      2.1623460e-05
     0.673000      3.3058893e-05
     0.673500      4.5803633e-05
     0.674000      6.7609340e-05
     0.674500      9.7374453e-05
     0.675000      0.00014027839
     0.675500      0.00020110923
     0.676000      0.00028502838
     0.676500      0.00040273430
     0.677000      0.00056149191
     0.677500      0.00077962176
     0.678000       0.0010744936
     0.678500       0.0014715464
     0.679000       0.0019887395
     0.679500       0.0026517899
     0.680000       0.0035277743
     0.680500       0.0046534091
     0.681000       0.0060379919
     0.681500       0.0078216459
     0.682000        0.010052990
     0.682500        0.012754759
     0.683000        0.016022027
     0.683500        0.019952960
     0.684000        0.024593201
     0.684500        0.030049561
     0.685000        0.036459895
     0.685500        0.043867976
     0.686000        0.052112765
     0.686500        0.061567450
     0.687000        0.072197820
     0.687500        0.083765779
     0.688000        0.096583419
     0.688500         0.11083930
     0.689000         0.12601073
     0.689500         0.14232315
     0.690000         0.15966504
     0.690500         0.17768468
     0.691000         0.19652531
     0.691500         0.21686314
     0.692000         0.23798181
     0.692500         0.25932583
     0.693000         0.28173620
     0.693500         0.30463160
     0.694000         0.32739384
     0.694500         0.35094304
     0.695000         0.37468457
     0.695500         0.39820549
     0.696000         0.42189396
     0.696500         0.44526213
     0.697000         0.46846646
     0.697500         0.49134517
     0.698000         0.51410892
     0.698500         0.53652320
     0.699000         0.55785198
     0.699500         0.57799687
     0.700000         0.59739427
     0.700500         0.61696398
     0.701000         0.63626623
     0.701500         0.65487528
     0.702000         0.67291819
     0.702500         0.69014025
     0.703000         0.70657403
     0.703500         0.72270366
     0.704000         0.73781066
     0.704500         0.75261759
     0.705000         0.76674946
     0.705500         0.78000825
     0.706000         0.79274174
     0.706500         0.80495365
     0.707000         0.81639329
     0.707500         0.82645446
     0.708000         0.83452235
     0.708500         0.84386850
     0.709000         0.85329131
     0.709500         0.86225404
     0.710000         0.87080645
     0.710500         0.87864793
     0.711000         0.88627403
     0.711500         0.89362086
     0.712000         0.90035301
     0.712500         0.90700740
     0.713000         0.91290850
     0.713500         0.91862544
     0.714000         0.92409823
     0.714500         0.92936394
     0.715000         0.93445213
     0.715500         0.93882296
     0.716000         0.94323948
     0.716500         0.94616568
     0.717000         0.94724067
     0.717500         0.95039408
     0.718000         0.95381036
     0.718500         0.95714244
     0.719000         0.96019253
     0.719500         0.96315272
     0.720000         0.96576406
     0.720500         0.96839125
     0.721000         0.97083039
     0.721500         0.97319329
     0.722000         0.97539935
     0.722500         0.97748957
     0.723000         0.97947575
     0.723500         0.98118407
     0.724000         0.98294576
     0.724500         0.98469942
     0.725000         0.98621175
     0.725500         0.98649892
     0.726000         0.98541725
     0.726500         0.98628049
     0.727000         0.98746385
     0.727500         0.98859831
     0.728000         0.98963942
     0.728500         0.99076560
     0.729000         0.99168541
     0.729500         0.99258292
     0.730000         0.99338631
     0.730500         0.99428482
     0.731000         0.99507158
     0.731500         0.99570753
     0.732000         0.99640066
     0.732500         0.99706690
     0.733000         0.99774191
     0.733500         0.99787928
     0.734000         0.99559620
     0.734500         0.99442566
     0.735000         0.99498550
     0.735500         0.99556042
     0.736000         0.99592411
     0.736500         0.99626091
     0.737000         0.99679462
     0.737500         0.99715670
     0.738000         0.99759688
     0.738500         0.99798255
     0.739000         0.99844358
     0.739500         0.99880538
     0.740000         0.99918267
     0.740500         0.99952749
     0.741000         0.99972293
     0.741500          1.0000000
     0.742000         0.99817907
     0.742500         0.99587921
     0.743000         0.99611282
     0.743500         0.99646144
     0.744000         0.99678027
     0.744500         0.99705103
     0.745000         0.99731582
     0.745500         0.99757592
     0.746000         0.99787786
     0.746500         0.99822403
     0.747000         0.99840689
     0.747500         0.99873968
     0.748000         0.99902767
     0.748500         0.99930873
     0.749000         0.99942908
     0.749500         0.99708222
     0.750000         0.99555244
     0.750500         0.99482742
     0.751000         0.99418689
     0.751500         0.99359710
     0.752000         0.99288122
     0.752500         0.99208406
     0.753000         0.99144486
     0.753500         0.99071468
     0.754000         0.98993070
     0.754500         0.98945575
     0.755000         0.98860451
     0.755500         0.98775767
     0.756000         0.98704486
     0.756500         0.98634817
     0.757000         0.98556838
     0.757500         0.98488885
     0.758000         0.98396733
     0.758500         0.98048153
     0.759000         0.97804426
     0.759500         0.97737328
     0.760000         0.97652025
     0.760500         0.97587581
     0.761000         0.97523518
     0.761500         0.97454267
     0.762000         0.97387266
     0.762500         0.97304908
     0.763000         0.97242416
     0.763500         0.97172255
     0.764000         0.97095134
     0.764500         0.97027515
     0.765000         0.96672997
     0.765500         0.96396690
     0.766000         0.96316003
     0.766500         0.96228039
     0.767000         0.96140862
     0.767500         0.96069756
     0.768000         0.95986567
     0.768500         0.95893660
     0.769000         0.95804486
     0.769500         0.95707452
     0.770000         0.95615969
     0.770500         0.95513668
     0.771000         0.95412225
     0.771500         0.95297482
     0.772000         0.95194124
     0.772500         0.95071543
     0.773000         0.94966926
