#z' VisAO Filter Transmission, including CCD47 QE and Aluminum reflectance
#Lambda (um)      Normalized-trans
     0.754000     0.00
     0.754500     2.3050607e-06
     0.755000     2.4155019e-06
     0.755500     3.3357357e-06
     0.756000     2.7726981e-06
     0.756500     1.8536624e-06
     0.757000     1.5315346e-06
     0.757500     1.7009144e-06
     0.758000     1.8220682e-06
     0.758500     2.2750939e-06
     0.759000     5.1847776e-06
     0.759500     2.9681719e-06
     0.760000     3.2255391e-06
     0.760500     3.6914035e-06
     0.761000     3.0963900e-06
     0.761500     1.9279199e-06
     0.762000     2.9200550e-06
     0.762500     4.6777290e-06
     0.763000     4.5193326e-06
     0.763500     4.8157354e-06
     0.764000     3.3864706e-06
     0.764500     3.2123456e-06
     0.765000     4.1028445e-06
     0.765500     5.2463771e-06
     0.766000     3.4745544e-06
     0.766500     4.4161125e-06
     0.767000     5.5863144e-06
     0.767500     4.1842140e-06
     0.768000     3.9610171e-06
     0.768500     5.1015217e-06
     0.769000     5.9295959e-06
     0.769500     6.7126373e-06
     0.770000     6.4763007e-06
     0.770500     6.2805643e-06
     0.771000     7.2317312e-06
     0.771500     8.0174119e-06
     0.772000     8.5333618e-06
     0.772500     1.0057682e-05
     0.773000     8.9120767e-06
     0.773500     1.0146820e-05
     0.774000     1.1069717e-05
     0.774500     1.2797292e-05
     0.775000     1.1773983e-05
     0.775500     1.1674483e-05
     0.776000     1.2998102e-05
     0.776500     1.5347249e-05
     0.777000     1.4514754e-05
     0.777500     1.5830044e-05
     0.778000     1.5134975e-05
     0.778500     1.8151507e-05
     0.779000     1.9786794e-05
     0.779500     2.0669443e-05
     0.780000     2.0785843e-05
     0.780500     2.0521936e-05
     0.781000     2.3399517e-05
     0.781500     2.4953627e-05
     0.782000     2.7356422e-05
     0.782500     2.9841311e-05
     0.783000     2.8740816e-05
     0.783500     3.5478287e-05
     0.784000     3.3668515e-05
     0.784500     3.7333657e-05
     0.785000     3.9606274e-05
     0.785500     4.3129222e-05
     0.786000     4.5472183e-05
     0.786500     4.9547056e-05
     0.787000     5.2967788e-05
     0.787500     5.8913903e-05
